Description,Value,Date,ID
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,0.0,2020-03-31,AGUAS-A
Activos corrientes totales,274875.603,2020-03-31,AGUAS-A
Otros activos financieros no corrientes,7913.38,2020-03-31,AGUAS-A
Otros activos no financieros no corrientes,2997.177,2020-03-31,AGUAS-A
Cuentas por cobrar no corrientes,3573.07,2020-03-31,AGUAS-A
"Cuentas por cobrar a entidades relacionadas, no corrientes",0.0,2020-03-31,AGUAS-A
"Inventarios, no corrientes",0.0,2020-03-31,AGUAS-A
Inversiones contabilizadas utilizando el método de la participación,0.0,2020-03-31,AGUAS-A
Activos intangibles distintos de la plusvalía,223435.279,2020-03-31,AGUAS-A
Plusvalía,36233.012,2020-03-31,AGUAS-A
"Propiedades, planta y equipo",1506464.312,2020-03-31,AGUAS-A
Activos biológicos no corrientes,0.0,2020-03-31,AGUAS-A
Propiedad de inversión,0.0,2020-03-31,AGUAS-A
Activos por derecho de uso,3145.903,2020-03-31,AGUAS-A
"Activos por impuestos corrientes, no corrientes",0.0,2020-03-31,AGUAS-A
Activos por impuestos diferidos,31920.551,2020-03-31,AGUAS-A
Total de activos no corrientes,1815682.684,2020-03-31,AGUAS-A
Total de activos,2090558.287,2020-03-31,AGUAS-A
Otros pasivos financieros corrientes,103477.305,2020-03-31,AGUAS-A
Pasivos por arrendamientos corrientes,1474.271,2020-03-31,AGUAS-A
Cuentas por pagar comerciales y otras cuentas por pagar,85715.12,2020-03-31,AGUAS-A
"Cuentas por pagar a entidades relacionadas, corrientes",20610.166,2020-03-31,AGUAS-A
Otras provisiones a corto plazo,3607.367,2020-03-31,AGUAS-A
"Pasivos por impuestos corrientes, corrientes",9763.772,2020-03-31,AGUAS-A
Provisiones corrientes por beneficios a los empleados,1819.229,2020-03-31,AGUAS-A
Otros pasivos no financieros corrientes,24285.363,2020-03-31,AGUAS-A
Total de pasivos corrientes distintos de los pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,250752.593,2020-03-31,AGUAS-A
Pasivos incluidos en grupos de activos para su disposición clasificados como mantenidos para la venta,0.0,2020-03-31,AGUAS-A
Pasivos corrientes totales,250752.593,2020-03-31,AGUAS-A
Otros pasivos financieros no corrientes,1037081.254,2020-03-31,AGUAS-A
Pasivos por arrendamientos no corrientes,1706.184,2020-03-31,AGUAS-A
Cuentas por pagar no corrientes,1150.721,2020-03-31,AGUAS-A
"Cuentas por pagar a entidades relacionadas, no corrientes",0.0,2020-03-31,AGUAS-A
Otras provisiones a largo plazo,1395.162,2020-03-31,AGUAS-A
Pasivo por impuestos diferidos,33243.985,2020-03-31,AGUAS-A
"Pasivos por impuestos corrientes, no corrientes",0.0,2020-03-31,AGUAS-A
Provisiones no corrientes por beneficios a los empleados,21164.064,2020-03-31,AGUAS-A
Otros pasivos no financieros no corrientes,9946.135,2020-03-31,AGUAS-A
Total de pasivos no corrientes,1105687.505,2020-03-31,AGUAS-A
Total de pasivos,1356440.098,2020-03-31,AGUAS-A
Capital emitido y pagado,155567.354,2020-03-31,AGUAS-A
Ganancias (pérdidas) acumuladas,376927.078,2020-03-31,AGUAS-A
Prima de emisión,164064.038,2020-03-31,AGUAS-A
Acciones propias en cartera,0.0,2020-03-31,AGUAS-A
Otras participaciones en el patrimonio,-5965.55,2020-03-31,AGUAS-A
Otras reservas,0.0,2020-03-31,AGUAS-A
Patrimonio atribuible a los propietarios de la controladora,690592.92,2020-03-31,AGUAS-A
Participaciones no controladoras,43525.269,2020-03-31,AGUAS-A
Patrimonio total,734118.189,2020-03-31,AGUAS-A
Total de patrimonio y pasivos,2090558.287,2020-03-31,AGUAS-A
Efectivo y equivalentes al efectivo,167557.116,2020-06-30,AGUAS-A
Otros activos financieros corrientes,91.942,2020-06-30,AGUAS-A
Otros activos no financieros corrientes,3096.381,2020-06-30,AGUAS-A
Deudores comerciales y otras cuentas por cobrar corrientes,113411.775,2020-06-30,AGUAS-A
"Cuentas por cobrar a entidades relacionadas, corrientes",17.092,2020-06-30,AGUAS-A
Inventarios corrientes,5047.561,2020-06-30,AGUAS-A
Activos biológicos corrientes,0.0,2020-06-30,AGUAS-A
"Activos por impuestos corrientes, corrientes",4187.44,2020-06-30,AGUAS-A
Total de activos corrientes distintos de los activo o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,293409.307,2020-06-30,AGUAS-A
Activos no corrientes o grupos de activos para su disposición clasificados como mantenidos para la venta o como mantenidos para distribuir a los propietarios,80.974,2020-06-30,AGUAS-A
Activos corrientes totales,293490.281,2020-06-30,AGUAS-A
